h6,total_soportes
86b2c5087ffffff,45
86b2c5097ffffff,239
86b2c50a7ffffff,36
86b2c50b7ffffff,520
86b2c5157ffffff,3
86b2c5187ffffff,398
86b2c518fffffff,43
86b2c5197ffffff,173
86b2c519fffffff,749
86b2c51a7ffffff,13
86b2c51b7ffffff,15
86b2c542fffffff,124
86b2c5467ffffff,63
86b2c5477ffffff,28
86b2c550fffffff,14
86b2c552fffffff,20
86b2c5547ffffff,908
86b2c554fffffff,413
86b2c5557ffffff,194
86b2c555fffffff,191
86b2c5567ffffff,123
86b2c556fffffff,1572
86b2c5577ffffff,67
86b2c5ccfffffff,2
86b2c5cdfffffff,38
